alcool,acidez_volatil,sulfatos,acido_citrico,qualidade_vinho
9.4,0.7,0.56,0.0,5
9.8,0.88,0.68,0.0,5
9.8,0.76,0.65,0.04,5
9.8,0.28,0.58,0.56,6
9.4,0.7,0.56,0.0,5
9.4,0.66,0.56,0.0,5
9.4,0.6,0.46,0.06,5
10.0,0.65,0.47,0.0,7
9.5,0.58,0.57,0.02,7
10.5,0.5,0.8,0.36,5
9.2,0.58,0.54,0.08,5
10.5,0.5,0.8,0.36,5
9.9,0.615,0.52,0.0,5
9.1,0.61,1.56,0.29,5
9.2,0.62,0.88,0.18,5
9.2,0.62,0.93,0.19,5
10.5,0.28,0.75,0.56,7
9.3,0.56,1.28,0.28,5
9.0,0.59,0.5,0.08,4
9.2,0.32,1.08,0.51,6
9.4,0.22,0.53,0.48,6
9.7,0.39,0.65,0.31,5
9.5,0.43,0.91,0.21,5
9.4,0.49,0.53,0.11,5
9.7,0.4,0.63,0.14,6
9.3,0.39,0.56,0.16,5
9.5,0.41,0.59,0.24,5
9.5,0.43,0.91,0.21,5
9.4,0.71,0.55,0.0,5
9.8,0.645,0.59,0.0,6
10.1,0.675,0.54,0.07,5
10.6,0.685,0.57,0.0,6
9.8,0.655,0.66,0.12,5
9.4,0.605,0.52,0.12,6
9.2,0.32,0.55,0.25,5
9.6,0.645,0.55,0.0,6
10.8,0.6,0.6,0.14,6
9.7,0.38,0.73,0.28,7
9.8,1.13,0.48,0.09,4
10.5,0.45,0.83,0.36,5
10.5,0.45,0.83,0.36,5
9.3,0.61,0.51,0.3,4
10.5,0.49,0.9,0.2,6
10.3,0.66,1.2,0.22,5
9.5,0.67,0.52,0.02,5
13.1,0.52,0.56,0.15,4
9.2,0.935,0.73,0.43,5
9.5,0.29,0.58,0.52,5
9.2,0.4,0.56,0.23,5
9.2,0.31,0.58,0.37,5
9.2,0.66,0.74,0.26,5
9.4,0.52,0.63,0.04,6
9.4,0.5,0.64,0.04,6
9.4,0.38,0.56,0.36,5
10.2,0.51,0.63,0.15,6
9.5,0.62,0.53,0.04,5
9.6,0.42,0.63,0.57,5
9.4,0.63,0.77,0.12,5
10.0,0.59,0.59,0.18,5
9.4,0.39,0.54,0.31,6
9.2,0.4,0.64,0.4,5
9.3,0.69,0.71,0.49,5
9.5,0.52,0.62,0.16,7
9.8,0.735,0.57,0.05,5
10.9,0.725,0.39,0.05,5
10.9,0.725,0.39,0.05,5
9.6,0.52,0.58,0.11,5
10.7,0.705,0.58,0.07,5
10.7,0.32,0.79,0.57,5
10.5,0.705,0.95,0.05,6
9.5,0.63,0.54,0.08,6
9.5,0.67,0.48,0.23,5
9.5,0.69,0.48,0.22,5
9.2,0.675,0.53,0.26,4
9.6,0.32,0.82,0.54,5
10.5,0.41,0.66,0.64,5
10.5,0.41,0.66,0.64,5
10.7,0.785,0.55,0.0,6
10.1,0.75,0.52,0.12,5
9.1,0.625,1.12,0.2,4
9.2,0.45,0.56,0.2,5
9.4,0.43,1.28,0.7,5
9.1,0.5,0.57,0.47,5
9.4,0.67,1.14,0.26,5
10.3,0.3,0.78,0.48,6
10.1,0.55,0.59,0.15,5
9.9,0.49,1.95,0.28,6
9.6,0.49,0.64,0.26,5
9.5,0.39,1.22,0.44,5
9.0,0.62,0.53,0.08,5
9.5,0.52,0.54,0.26,5
9.9,0.49,1.95,0.28,6
9.8,0.49,1.98,0.29,5
9.6,0.49,0.64,0.26,5
10.5,1.02,0.48,0.04,4
